id,row,Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded
106,106,CB,Chubb,reports,Financials,Property & Casualty Insurance,"Zurich, Switzerland",15/07/2010,896159.0,1985
107,107,CHD,Church & Dwight,reports,Consumer Staples,Household Products,"Ewing, New Jersey",29/12/2015,313927.0,1847
108,108,CI,Cigna,reports,Health Care,Managed Health Care,"Bloomfield, Connecticut",30/06/1976,1739940.0,1982
109,109,CINF,Cincinnati Financial,reports,Financials,Property & Casualty Insurance,"Fairfield, Ohio",18/12/1997,20286.0,1950
110,110,CTAS,Cintas,reports,Industrials,Diversified Support Services,"Mason, Ohio",01/03/2001,723254.0,1929
111,111,CSCO,Cisco,reports,Information Technology,Communications Equipment,"San Jose, California",01/12/1993,858877.0,1984
112,112,C,Citigroup,reports,Financials,Diversified Banks,"New York City, New York",31/05/1988,831001.0,1998
113,113,CFG,Citizens,reports,Financials,Regional Banks,"Providence, Rhode Island",29/01/2016,759944.0,1828
114,114,CTXS,Citrix,reports,Information Technology,Application Software,"Fort Lauderdale, Florida",01/12/1999,877890.0,1989
115,115,CLX,Clorox,reports,Consumer Staples,Household Products,"Oakland, California",31/03/1969,21076.0,1913
116,116,CME,CME Group,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",11/08/2006,1156375.0,1848
117,117,CMS,CMS Energy,reports,Utilities,Multi-Utilities,"Jackson, Michigan",03/05/1999,811156.0,1886
118,118,KO,Coca-Cola,reports,Consumer Staples,Soft Drinks,"Atlanta, Georgia",04/03/1957,21344.0,1886
119,119,CTSH,Cognizant,reports,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",17/11/2006,1058290.0,1994
120,120,CL,Colgate-Palmolive,reports,Consumer Staples,Household Products,"New York City, New York",04/03/1957,21665.0,1806
121,121,CMCSA,Comcast,reports,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",19/11/2002,1166691.0,1963
122,122,CMA,Comerica,reports,Financials,Diversified Banks,"Dallas, Texas",01/12/1995,28412.0,1849
123,123,CAG,Conagra Brands,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",31/08/1983,23217.0,1919
124,124,COP,ConocoPhillips,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",04/03/1957,1163165.0,2002
125,125,ED,Con Edison,reports,Utilities,Electric Utilities,"New York City, New York",01/01/1900,1047862.0,1823
126,126,STZ,Constellation Brands,reports,Consumer Staples,Distillers & Vintners,"Victor, New York",01/07/2005,16918.0,1945
127,127,CEG,Constellation Energy,reports,Utilities,Multi-Utilities,"Baltimore, Maryland",02/02/2022,1868275.0,1999
128,128,COO,CooperCompanies,reports,Health Care,Health Care Supplies,"San Ramon, California",23/09/2016,711404.0,1958
129,129,CPRT,Copart,reports,Industrials,Diversified Support Services,"Dallas, Texas",02/07/2018,900075.0,1982
130,130,GLW,Corning,reports,Information Technology,Electronic Components,"Corning, New York",01/01/1900,24741.0,1851
131,131,CTVA,Corteva,reports,Materials,Fertilizers & Agricultural Chemicals,"Wilmington, Delaware",03/06/2019,1755672.0,2019
132,132,COST,Costco,reports,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",01/10/1993,909832.0,1976
133,133,CTRA,Coterra,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",23/06/2008,858470.0,2021 (1989)
134,134,CCI,Crown Castle,reports,Real Estate,Specialized REITs,"Houston, Texas",14/03/2012,1051470.0,1994
135,135,CSX,CSX,reports,Industrials,Railroads,"Jacksonville, Florida",30/09/1967,277948.0,1980
136,136,CMI,Cummins,reports,Industrials,Industrial Machinery,"Columbus, Indiana",31/03/1965,26172.0,1919
137,137,CVS,CVS Health,reports,Health Care,Health Care Services,"Woonsocket, Rhode Island",04/03/1957,64803.0,1996
138,138,DHI,D.R. Horton,reports,Consumer Discretionary,Homebuilding,"Arlington, Texas",22/06/2005,882184.0,1978
139,139,DHR,Danaher,reports,Health Care,Health Care Equipment,"Washington, D.C.",01/01/1900,313616.0,1969
140,140,DRI,Darden,reports,Consumer Discretionary,Restaurants,"Orlando, Florida",01/01/1900,940944.0,1938
141,141,DVA,DaVita,reports,Health Care,Health Care Facilities,"Denver, Colorado",31/07/2008,927066.0,1979
142,142,DE,Deere & Co.,reports,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",04/03/1957,315189.0,1837
